model,trial,lower,median,upper
expB,157,2089.79330732,2242.9369494,2421.37430032
expB,158,1986.24885578,2124.17743236,2284.02705106
expB,159,1911.20272905,2051.59539299,2210.19644591
expB,160,2098.28984429,2241.08984364,2419.14629584
expB,161,2105.0577329,2270.88462641,2454.82930288
expB,162,2054.322427,2203.09971794,2382.92961306
expB,163,1980.27976465,2136.52749042,2307.48502317
expB,164,1937.21561422,2081.16880159,2242.73080997
expB,165,1995.62969818,2136.84880364,2323.65946158
expB,166,2014.54838137,2154.82801794,2321.62465756
expB,167,2030.26374366,2185.474163,2352.29005642
expB,168,1997.10254243,2156.47728609,2310.95377596
expB,169,1907.90875339,2054.10170931,2226.37095878
expB,170,2009.24007029,2152.35749593,2319.78908122
expB,171,2052.69235279,2218.04039259,2405.02109627
expB,172,2037.93597719,2184.04862392,2359.70468918
expB,173,2030.08964092,2193.59150583,2380.12014025
expB,174,2002.01141965,2163.53904767,2321.80369587
expB,175,2050.22638053,2228.21772658,2416.1573756
expB,176,1927.68538061,2073.59623711,2232.81902178
expB,177,1976.42591902,2130.78384491,2302.78593214
expB,178,1975.81935295,2137.10875652,2312.20175068
expB,179,1997.42862202,2133.21390467,2291.01584353
expB,180,1914.0669521,2075.1568297,2246.27550728
expB,181,1987.63351566,2133.3909458,2295.14958982
expB,182,2017.99281793,2185.72482955,2366.60775094
expB,183,1846.98124505,1963.28599323,2097.77575417
expB,184,2017.65289033,2180.86961085,2362.66134389
expB,185,1971.30001383,2130.88927092,2295.13176996
expB,186,1866.46948796,2014.35752132,2171.31314585
expB,187,1917.03063871,2053.34005053,2203.10179549
expB,188,1971.57382448,2146.26988907,2305.84035831
expB,189,1971.03744688,2128.99230543,2312.36983296
expB,190,1995.4012789,2139.49986251,2312.79346112
expB,191,2118.36521318,2271.92996184,2443.12987459
expB,192,1881.27692122,2038.56478573,2219.70281851
expB,193,1920.75845049,2078.12462876,2245.93881829
expB,194,1968.57627507,2130.17572201,2287.72125187
expB,195,1973.43542686,2117.69281779,2272.02171326
expB,196,2022.82897051,2195.00486634,2364.7524505
expB,197,2030.33448272,2189.71587771,2366.85386777
expB,198,1951.75704237,2103.19121338,2282.76313883
expB,199,1964.00135302,2119.6670762,2293.93863227
expB,200,1983.59234128,2141.66820408,2323.15489951
